Width: 253
Height: 212
Total colors: 1027
Index and RGB values are: 
0:0 0 0
1:0 60 90
2:0 121 181
3:181 195 206
4:206 203 206
5:222 223 222
6:123 178 206
7:16 134 198
8:0 130 198
9:0 24 33
10:82 134 165
11:123 121 123
12:24 24 24
13:82 77 82
14:181 178 181
15:49 150 198
16:0 32 49
17:0 97 148
18:148 182 206
19:222 219 222
20:231 227 231
21:214 211 214
22:132 178 206
23:33 142 198
24:0 85 132
25:0 109 165
26:140 182 206
27:140 178 206
28:0 40 66
29:66 130 165
30:41 142 198
31:0 89 140
32:74 69 74
33:57 52 57
34:115 113 115
35:90 89 90
36:123 125 123
37:115 130 115
38:49 65 49
39:140 134 140
40:173 170 173
41:49 48 49
42:173 166 173
43:0 20 0
44:0 117 173
45:90 162 206
46:189 195 206
47:214 203 214
48:33 142 206
49:99 166 198
50:24 138 198
51:0 134 206
52:0 77 123
53:82 146 181
54:107 101 107
55:99 101 99
56:189 182 189
57:123 174 198
58:206 215 231
59:132 182 206
60:24 142 206
61:0 81 132
62:0 65 99
63:148 166 181
64:33 93 132
65:0 113 173
66:74 158 206
67:173 190 206
68:0 134 198
69:0 24 41
70:66 109 132
71:107 170 206
72:0 52 74
73:57 56 57
74:49 44 49
75:148 142 148
76:107 130 107
77:0 16 0
78:66 65 66
79:66 60 66
80:49 52 49
81:0 117 181
82:140 142 140
83:222 215 222
84:33 146 198
85:115 170 198
86:99 166 206
87:16 138 198
88:82 158 198
89:107 121 132
90:107 105 107
91:99 97 99
92:123 174 206
93:198 211 222
94:140 182 214
95:74 93 99
96:107 150 173
97:107 170 198
98:33 101 132
99:74 158 198
100:41 146 198
101:0 48 74
102:74 73 74
103:57 60 57
104:115 109 115
105:189 186 189
106:41 146 206
107:189 199 206
108:90 162 198
109:82 89 99
110:123 170 198
111:0 81 123
112:0 69 107
113:0 113 165
114:66 154 206
115:165 195 222
116:74 162 206
117:66 113 132
118:41 85 107
119:0 105 156
120:66 77 66
121:107 109 107
122:8 12 8
123:231 223 231
124:214 207 214
125:115 170 206
126:16 36 41
127:0 101 156
128:156 186 206
129:57 154 206
130:107 166 198
131:189 207 222
132:156 203 231
133:41 150 206
134:0 44 66
135:115 117 115
136:189 190 189
137:123 142 123
138:181 182 181
139:148 195 222
140:239 243 255
141:49 89 115
142:66 138 173
143:140 195 222
144:222 235 247
145:255 251 255
146:148 203 231
147:24 142 198
148:0 36 57
149:0 93 140
150:66 150 198
151:165 190 198
152:132 174 206
153:239 239 239
154:165 207 239
155:107 182 222
156:107 174 214
157:99 174 214
158:41 150 214
159:239 235 239
160:123 134 123
161:49 69 57
162:123 186 222
163:206 215 222
164:165 186 206
165:247 247 247
166:148 199 231
167:57 150 198
168:247 243 247
169:181 215 239
170:214 231 247
171:239 231 239
172:140 186 214
173:90 113 132
174:33 32 33
175:41 40 41
176:156 154 156
177:132 130 132
178:24 130 181
179:173 203 214
180:247 239 247
181:181 203 222
182:214 215 214
183:140 138 140
184:33 36 33
185:0 20 33
186:156 150 156
187:90 93 90
188:165 162 165
189:16 77 107
190:214 223 231
191:231 231 231
192:165 203 231
193:0 93 148
194:156 190 214
195:189 203 222
196:165 166 165
197:173 186 173
198:165 158 165
199:99 154 189
200:132 190 222
201:206 219 231
202:0 52 82
203:90 146 181
204:189 203 214
205:132 182 214
206:189 211 222
207:74 109 123
208:156 158 156
209:82 81 82
210:99 121 99
211:189 203 189
212:198 211 198
213:140 150 140
214:24 93 132
215:181 186 198
216:198 203 214
217:206 207 206
218:123 178 214
219:99 154 181
220:173 207 231
221:107 162 198
222:165 190 206
223:82 158 206
224:0 28 41
225:99 113 99
226:57 69 57
227:156 166 156
228:189 207 198
229:107 146 115
230:0 36 0
231:0 73 107
232:90 150 181
233:148 195 231
234:99 170 206
235:198 215 231
236:33 101 140
237:57 73 82
238:33 65 82
239:0 69 99
240:181 190 206
241:173 190 198
242:107 125 107
243:82 101 82
244:49 73 57
245:156 178 156
246:255 247 255
247:148 190 214
248:66 154 198
249:16 36 49
250:0 40 57
251:33 105 140
252:57 130 165
253:0 77 115
254:82 142 181
255:165 190 214
256:41 109 148
257:132 158 173
258:198 190 198
259:132 134 132
260:148 146 148
261:123 117 123
262:57 158 214
263:16 121 173
264:49 125 165
265:57 77 90
266:24 77 107
267:123 158 181
